,school,program,overallScore,review_body
30,springboard,Data Science Career Track,4.3,I’m a current student in Data Science Career Track Program. It’s been a month in this course and I’m fully satisfied with the course curriculum and support from the mentor and the student advisor.I have Master’s in Physics. And I am from Mathematics background.... Read More I do not have experience in programming or computer science. I just learnt Basic Python before joining the course. Now I am confident that I can definitely move forward in this field as I already know many tools and techniques to dive into the Data Science world. I will update here as soon as I finish the course and after landing into my dream job.Thanks for taking time to read my review. Good luck.Read Less
31,springboard,Data Science Career Track,5.0,"Springboard was a great experience. Though the concepts and assignments were definitely hard and required heavy investment on time especially as I worked full time, the support was definitely there to help me through, especially from my mentor, Alex.... Read More I gained a lot of knowledge through his real life experience and through the support of my career advisor, Allison, I was able to get a job by the end of the program as a data scientist and I am grateful for all the support. Definitely worth investing and going through the bootcamp.Read Less"
32,springboard,Data Science Career Track,5.0,Comprehensive curriculum and great support throughout. The resulting portfolio is a great starting point for a career in data science and the two capstone projects allow for some personalization. Best bang for your buck.
33,springboard,Data Science Career Track,3.7,"I started the Data Science Career Track bootcamp in April 2018, completed Aug 2018. BACKGROUND: Graduated with a master's in one of the biosciences, few months prior to bootcamp. Due to my work, already had background in data analysis, stats, and programming... Read More in another language besides Python. Some Python tutorials were sufficient for applying to this bootcamp. CURRICULUM: Covers required basics, esp for data science interviews. Mostly based on pre-existing materials online, but Springboard does the legwork of sifting through the overwhelming sea of Internet resources and curating them into a chronological curriculum. Additionally, they’ve got their own resources, including lists of interview questions and networking how-to’s. These were immensely helpful. I also used the interview questions as a study guide, which paid off as several topics appeared in actual interviews. STAFF/MENTOR: Lots of support – you can schedule calls with a career coach, do mock interviews, and generally interact with other people in what could otherwise be an isolated journey of self-teaching. Incredibly professional and knowledgeable staff, very responsive customer support. I was also very happy with my mentor. The first one I was assigned to was a bit lackluster, but after having to postpone my start date, I ended up with another one. My weekly call with him helped me stay on track, and he was incredibly helpful and encouraging. This included post-bootcamp, when I sought his advice on choosing between jobs.CAPSTONE PROJECTS: Critical part of my resume, since I didn’t have industry experience or data sci projects where I used machine learning. Starting a project can be intimidating and unfamiliar, so the bootcamp provided me structure. Another Springboard staff member grades your project and provides feedback - I wish their comments/suggestions were more detailed though. COST: Steeper than I’d liked, but it paid off. I had the freedom to pursue this full-time, so I did the per-monthly plan hoping I’d complete it within 2-3 months. I ended up taking 4 months, but still avoided the heftier 6-month charge.JOB HUNT: Again, YMMV – like I suspect w/ many bootcamps out there. It’ll be up to you to do a lot of the networking. I reviewed my Springboard curriculum, plus lots of extra reading outside the curriculum (particularly practice tech &amp; behavioral questions). Also deployed one of my Springboard projects as a Flask web app. I went to events/Meetups, did informational phone calls w/ close and distant contacts, and applied to several jobs (requiring cover letters) each week. Overall: Good self-paced curriculum that covers the basics. Pricey, YMMV, but worth it for me ultimately. I found a job 2 months after completing the bootcamp, but a lot of the post-bootcamp work was on me to apply, network, etc. Happy with my mentor and interactions with staff.Read Less"
34,springboard,Data Science Career Track,4.7,"I started looking for an online training/certification on Data Science in Jan 2017 and found Springboard as one of the best in terms of their curriculum. It started with basics then finishes up to big data/spark. Also, they have a job guarantee clause... Read More that they will return your tuition if you dont get a job after 3 months of graduation. In fact, I got a job offer before I finished all subjects in the curriculum. I also got a very supportive and excellent mentors, Medhi and Kevin. They shared their projects/experiences to me which gave me more ideas on what projects I can do. Would definitely recommend Springboard to my friends and colleagues.Read Less"
35,springboard,Data Science Career Track,4.7,This course really built my confidence in preparing me for a Data Science career through extensive Python training and working through multiple projects. I felt like the program extensively approached the fundamentals while providing support and resources... Read More to engage with both the material and employment process. I felt like they truly cared about my development. My only hope for the program was that there would be more practice using Spark and SQL seeing as those are becoming absolute fundamentals in the job market.Read Less
36,brainstation,Data Science,3.0,"I attended the first full-time Data Science Cohort (June 2018) at the Toronto location. I think the course is marketed as a means to make a career transition. Based on my experience, it doesn't live up to that expectation. Starting with the positives... Read More - As an educational resource for topics including excel, sql, python, ML, sklearn and designing analyses, the bootcamp was excellent. I think the instructors went above and beyond. They were highly qualified and professional. They were also very likeable people that made the 10 weeks enjoyable. But that's the full extent of what the bootcamp offers. After a showcase in week 10 which was poorly attended by actual hiring partners, there was no further career support (that I would consider valuable). In the end, the bootcamp provided a small handful of generic events including a linkedin/resume building seminar. Now more than a month after graduating only 2 of the 15 that started the course have found employment.Read Less"
37,springboard,Data Science Career Track,4.7,"The program is great, and provided a lot of exposure in many key areas. There was a lot of great support I received from my mentor and the career coaches available. The curriculum is very good but could definitely use some tweaking with regards to pacing... Read More and some of the resources used, but that may just be a personal preference. It is quite a challenging program and a lot of effort will need to be put into finishing it but it is definitely worth it to get into the field of data science.Read Less"
38,springboard,Data Science Career Track,5.0,1) Very nicely prepared course curriculum.2) Covered all necessary topics from machine Leaning.3) Mentor oriented weekly called were extremely helpful.4) Sufficient Videos and assignments for proper understanding.5) Very helpful student advising and support... Read More team.Read Less
39,springboard,Data Science Career Track,5.0,"If you’re looking to go into data science, Springboard is the way to go! The Data Science Career Track program is curated, and I don’t know if people feel less inclined to join because of it, but I can say with confidence that everything is carefully... Read More and thoughtful placed together. You will gain the knowledge and skills needed to apply to your future job as a data scientist.What also makes the career program so great is the career coaching. I’ve not also learned new so much technical skills, but networking skills as well. The community is very close and we’re all very willing to help each other. I will recommend Springboard to anyone I know who is looking to transition into data science (or even UX, which is another popular program from Springboard).Read Less"
40,springboard,Data Science Career Track,5.0,"At the end of 2017, I spent two and half months completing the 'Introduction to Data Science' at Springboard, but ""Data Science Career Track"" is a totally different thing. I had thought I could complete it within six months, and actually I spent near... Read More eight months. Thanks to the supporting team of Springboard, their kindness, understanding and encouraging, helped me overcome challenges and finally completed the Data Science Career Track course, and under the help of my career coach, now I have more confidence in the job seeking market and use skills I have learned from Springboard to gain more opportunities than I had expected.Now I heard that Springboard has a new course for machine learning engineering, that is so great! Maybe I will take it in the future.Read Less"
41,springboard,Data Science Career Track,4.0,I am so happy that I took Data Science Career Track with Springboard. Curriculum is well structured. My mentor Dipanjan helped very much technically also motivated me throughout the course. Career Counselors helped very much resume preparation and job... Read More searchRead Less
42,springboard,Data Science Career Track,5.0,"I come from a software engineering background. I have been developing data-centric applications for over a decade but have never did any data science.I always wanted to take it to the next level by learning data science/machine learning, but I always... Read More found it too difficult to do on my own. There's just too much knowledge/learning-paths/etc. out there that I kept getting confused on which way to proceed.Thankfully, I found Springboard. They have been an absolute lifesaver. The best thing about the course is that it lays out a clear path on how to get from A to Z. No more constant confusion. The mentors there really helped guide me and keep me focused on what really mattered and not get lost down a rabbit hole etc.The course takes a lot of work. But by the end of the course I was already able to implement data science solutions for my employer. 'Tis been an amazing experience - I highly recommend Springboard!Read Less"
43,springboard,Data Science Career Track,5.0,"I attended the Springboard Data Science Career Track program for ~5 months. I did some research before entering. I had some coding and data analysis experience before entering. This one suits me the best among other data science courses, because (1) It's... Read More online, so I don't have to quit my job. (2) It's mentor supported, very few if any online program offer that (3) It has a job guarantee. Overall, the experience was fantastic.The curriculum, while not perfect, is well curated and organized and covers not just technical subjects, but also career support. I get 30 minutes with a mentor every week to review my assignments, answer my questions, etc. My mentor had similar background as I do and had gone through the academia to industry transition before, so he was able to offer valuable advices in addition to technical guidance. At the end of the course, I was required to pass 4 mock interviews and complete two capstone projects which prepared me a lot for the job hunting. I landed interviews from many companies, from start-up to large companies like Amazon, near the end of my study. Though, I have to say, the course alone won't be enough for interviews at the likes of Amazon and Google, it should be sufficient to help you land you positions at mid-tier companies.Overall, I find what I learned very useful, the experience with my mentor pleasant, and the cost reasonable. If you are someone who is considering transition to data science, but cannot quit your job for dedicated bootcamps, I definitely recommend this program from Springboard.Read Less"
44,springboard,Data Science Career Track,4.0,"I know the curriculum has changed since I started the course Oct 2017, so some of the criticisms may no longer apply. The strongest part of the course is the access to the mentor(s) and the team of career coaches. The curated course content overall is... Read More very good, though some lectures are from 4-5 years ago.The main focus is the two capstones and the mentor interaction to keep you moving forward on them.The Python datacamp courses (at the time) where mostly useful, though at some points I used other materials from courses like Udemy or LinkedIn Learning where the curriculum fell short of the coursework being asked.The coursework at many points has incorrect time-estimates for the (2-4 hrs suggested but actually needing 10-20). Some coursework questions and worksheets were out of date or missing. If you have a full-time job then staying on a schedule based on the course completion time then you will be as frustrated with this as we were. The most common observation on the forums was the poorly supported statistics element, with insufficient course material for a crucial element of data science and insufficient study material for the coursework.I have worked every week/other week with my career coach to refine my resume, profile etc. I am getting invitations to on-site interviews and phone screens.Read Less"
45,springboard,Data Science Career Track,4.0,"I joined the Data Science Career Track in order to gain the hard skills associated with Data Science after working w/ a small start-up as an impromptu Data Researcher and Analyst and having previously earned an MS including classes in stats.I chose the... Read More program for it's emphasis on application of skills in my own projects, and the flexible relationship with the Mentor. Pro: - Mentor was great, had real-world experience and served as a great resource to help me define a good question and project as well as solve technical questions w/ my coding. She also provided extra resources if I wanted to practice or further develop a skill from the program. - included some optional extra projects and lessons for many skills, so you could easily do extra practice if desired. - Great lessons on ML and AI applications, and A+ lectures.- Career services was very involved if desired, and very flexible about providing support. Con: - not enough lessons/ practices provided for advanced SQL , which ended up being emphasized in the career process. - As an online course it is great, but it would be great if they helped organize weekly study sessions for students in the Bay Area, or other dense locations and encouraged students to work together.Read Less"
46,brainstation,Data Analytics,5.0,"I attended the Data Analytics course, 4 days In-Class in Vancouver, and I’m absolutely satisfied, both by the content and the teaching method. The curriculum is quite large (Database 101, in-depth SQL and Tableau, Excel advanced), and the pace is relatively... Read More high, but we were able to not only learn about each individual topic/software but also use them all at once for our final project. The In-Class version of this course offers a lot of interaction with classmates and our teacher, in a very positive atmosphere. Our teacher was very knowledgeable and really engaged individually with each participants, creating a strong learning dynamic. Although I was quite tired at the end of the course, I felt that we accomplished a lot, and the final project gave me the confidence that I am well equipped to apply those skills in real life.I would recommend this course to everyone willing to develop the technical aspect of business analytics as those skills can be quickly applied and make a difference in our day to day professional life. It’s definitely worth the time/money investment.Read Less"
47,brainstation,Data Science,4.7,"I came into the course with a good understanding of basic Python programming and Data Science Algorithms from a few online courses. I was looking for the opportunity to sit down with an experienced Data Scientist for hours, to gain some practical problem... Read More solving and technical experience. Jeremy was the Data Scientist teaching the course at the time, and he was terrific! He took great care and providing top-tier education. The most significant benefit from the class was watching Jeremy's workflow in solving common and other uncommon Data Science problems. These observations set a very high standard of quality in my work and helped me further my studies in DS via my self-studies after the course (always be learning). The second largest benefit from the course was the network that I built in the class of fellow Data enthusiasts in Toronto. I have remained close with my classmate as we all transitioned into Data Science roles in industry. Support each other when needed. After the program, I transitioned from a job as a client services consultant to a Data Analyst and had to increase my annual salary by 20k (quickly making up for the cost of the course in the first year).Read Less"
48,springboard,Data Science Career Track,5.0,"I recently completed the Data Science career track course and I'm very pleased. The biggest benefit is the flexibility, I had to take a 2 month break for personal reasons and the return was as smooth as possible.PROS:It's online, and very flexible, so... Read More you can go at your own pace, even take some time off if necessary. I was doing this along my PhD.The contents are deep and detailed, well oriented to the professional worldThere is a team of people helping you, from having feedback from your exercises, mentoring, and career supportJob-back guarantee if eligibleThe work you carry out is engaging and interesting, and you work with real dataCONS:Really, the only possible improvement is that sometimes it felt we returned to contents that were quite established. A couple of online videos and exercises were somewhat repetitive.Read Less"
49,springboard,Data Science Career Track,4.3,"The last 6 months has been quite the journey and I'm happy to have chosen Springboard to jet-start my data science career. The program covers a lot of ground and includes concepts such as Python programming, SQL databases, inferential statistics, building... Read More your resume/cover letter, networking with professionals, machine learning, etc. Pros:- Everything is online so you can learn at your own pace.- You are assigned a personal mentor who is a data science professional.- You have access to extra daily mentor calls with one of the other data science mentors.- The course will help you complete 2 major capstone projects that you will add to your data science portfolio.- The curriculum is very thorough and presents you with an abundant amount of resources for learning.- There are many mini-projects along the way that help you practice your learning.- You can schedule calls with career coaches who will help you prepare for interviewing and beefing up your resume.Cons:- Since everything is online, there are no live instructors who give you feedback in-person.- Getting feedback on your projects may sometimes take a while because the TAs are typically busy.- Some of the material was confusing, which resulted in difficulty understanding some of the concepts.Overall, I would give Springboard a rating of 4/5. I definitely recommend it to anybody interested in becoming a data scientist!Read Less"
50,springboard,Data Science Career Track,5.0,"I had a fantastic experience with Springboard. I took their Introduction to Data Science course in fall of 2017 and their Data Science Career Track course in 2018. The course was a great alternative to a fully immersive bootcamp, since I wanted something... Read More that allowed me to quickly learn the skills required for a Data Scientist while still being able to work my full time job. The course does require a lot of self-discipline in time management since you're working through everything online and there is a lot of material to get through. I ended up spending an average 10-20 hours per week working through the course material so that I could finish in 6 months. The biggest asset for me was the weekly meetings with my mentor. He was a huge help in making sure I understood the tutorials and assignments and he helped keep me accountable and on track.If you are willing to put in the work and don't mind learning online in an isolated environment instead of in a classroom, I highly recommend Springboard. It was a lot of work, but ultimately worth it because I ended up landing my first job in data.Read Less"
51,springboard,Data Science Career Track,4.7,"There are probably some people who are very at selling themselves and wont need this program, but for people like me it was immensly helpful. In particular, the help building a network and assembling a portfolio was invaluable and precisely what I was... Read More lacking. It's farily pricey, but I can confidently say it would have taken me much longer to find a job without it.Read Less"
52,springboard,Data Science Career Track,4.7,I would recommend this course to a friend! This course is very suitable for someone without industrial knowledge of data science.
53,springboard,Data Science Career Track,3.7,"Overall I had a pretty good experience with Springboard. The curriculum was very robust, and I felt like they covered a wide range of topics. I found the homework to take much longer than the suggested time, but the Student Support was very helpful, and... Read More gave me specific help and corrections for my work. I got a job a few months after I started the program, so I can't speak much to the job support, but I'm glad I had the opportunity to build a portfolio. The mentor aspect also kept me honest and on task, which was positive.Read Less"
54,springboard,Data Science Career Track,5.0,"Pros:1. The program is very helpful in job applications. 2. The curriculum is very comprehensive, it gives me a good combination of theoretical knowledge and practice.3. The one-on-one mentor is helpful in answering my questions and giving me more guidance... Read More in the area.4. The homework and projects have really helped me to gain hands-on knowledge and sharpen my skills further.Cons:1. Self-discipline is needed, but I think this is the same for every program.Read Less"
55,springboard,Data Science Career Track,5.0,"I enrolled in the Data Science career track. I completed my course a couple of weeks back. I opted out of the career assistance because I already had a job which I am not planning to quit any time soon. I completed my course work. I had to interrupt my... Read More course twice. Once due to flooding and the other time when I was about to be a father. On both occasions Springboard paused my course and were supportive of me resuming it later.Pros:-1. Structure: The course is well structured and gives you a good idea of how to progress2. Exercises: There were a lot of exercises which gave a very good insight about how a data science project progresses. This included basic and intermediate statistical analyses and advanced topics.3. Projects: Two capstones make you practice a lot. The capstones along with mentor guidance solidified many concepts in my mind.4. Mentors (Biggest Pro): Having a mentor was the biggest pro. I was matched up to an excellent mentor, an expert in the field and he was extremely patient with me and always pushed me in the right direction. I understand a mentor can be different for different people but if they match you up with a mentor who is helpful, extract every thing from the opportunity.Cons:-1. I felt that not enough attention was paid to big data and data engineering. Maybe they will fix it in the future.2. The content was...ok. You can find equally good video materials on YouTube if not better materials.Overall:-Its a very good program for the amount of money you pay. I am not sure about the job support but based on the quality of my mentors, I am sure that is solid too.Read Less"
